global_iso_id,nu,sw,elower,gamma_air,n_air,gamma_self,nu-err,sw-err,gamma_air-err,n_air-err,gamma_self-err,nu-ref,sw-ref,gamma_air-ref,n_air-ref,gamma_self-ref
26,143.047501,3.762e-45,11146.4859,0.0403,0.67,0.043,4,6,5,6,6,1727,1077,1331,226,1331
26,143.44127,3.368e-30,4809.6541,0.0408,0.67,0.043,6,7,5,2,6,1727,1077,1331,226,1331
26,144.412572,1.451e-40,9108.3901,0.0403,0.67,0.043,4,6,5,6,6,1727,1077,1331,226,1331
26,144.771419,1.937e-25,2690.9913,0.0408,0.67,0.043,6,7,5,2,6,1727,1077,1331,226,1331
26,145.777682,2.495e-35,7043.9492,0.0403,0.67,0.043,6,6,5,6,6,1727,1077,1331,226,1331
26,146.638323,2.374e-45,11289.5334,0.0399,0.67,0.042,4,6,5,6,6,1727,1077,1331,226,1331
26,147.142818,1.749e-30,4953.0954,0.0403,0.67,0.043,6,7,5,2,6,1727,1077,1331,226,1331
26,148.03841,6.751e-41,9252.8027,0.0399,0.67,0.042,4,6,5,6,6,1727,1077,1331,226,1331
26,148.507971,1.007e-25,2835.7627,0.0403,0.67,0.043,6,7,5,2,6,1727,1077,1331,226,1331
26,149.438532,1.254e-35,7189.7269,0.0399,0.67,0.042,6,6,5,6,6,1727,1077,1331,226,1331
26,150.838677,8.897e-31,5100.2382,0.0399,0.67,0.042,6,7,5,2,6,1727,1077,1331,226,1331
26,151.658412,3.043e-41,9400.8411,0.0395,0.67,0.042,4,6,5,6,6,1727,1077,1331,226,1331
26,152.238833,5.128e-26,2984.2707,0.0399,0.67,0.042,6,7,5,2,6,1727,1077,1331,226,1331
26,153.093548,6.167e-36,7339.1654,0.0395,0.67,0.042,6,6,5,6,6,1727,1077,1331,226,1331
26,154.528702,4.431e-31,5251.0769,0.0395,0.67,0.042,6,7,5,2,6,1727,1077,1331,226,1331
26,155.272436,1.325e-41,9552.4995,0.039,0.67,0.041,4,6,5,6,6,1727,1077,1331,226,1331
26,155.963863,2.558e-26,3136.5095,0.0395,0.67,0.042,6,7,5,2,6,1727,1077,1331,226,1331
26,156.742586,2.967e-36,7492.259,0.039,0.67,0.041,6,6,5,6,6,1727,1077,1331,226,1331
26,158.21275,2.161e-31,5405.6056,0.039,0.67,0.041,6,7,5,2,6,1727,1077,1331,226,1331
26,158.880336,5.559e-42,9707.7719,0.0386,0.67,0.041,4,6,5,6,6,1727,1077,1331,226,1331
26,159.682917,1.25e-26,3292.4734,0.039,0.67,0.041,6,7,5,2,6,1727,1077,1331,226,1331
26,160.385502,1.396e-36,7649.0015,0.0386,0.67,0.041,6,6,5,6,6,1727,1077,1331,226,1331
26,161.890678,1.032e-31,5563.8184,0.0386,0.67,0.041,6,7,5,2,6,1727,1077,1331,226,1331
26,162.481969,2.239e-42,9866.6523,0.0382,0.67,0.04,4,6,5,6,6,1727,1077,1331,226,1331
26,163.39585,5.984e-27,3452.1563,0.0386,0.67,0.041,6,7,5,2,6,1727,1077,1331,226,1331
26,164.022153,6.425e-37,7809.387,0.0382,0.67,0.04,6,6,5,6,6,1727,1077,1331,226,1331
26,165.562341,4.83e-32,5725.709,0.0382,0.67,0.04,6,7,5,2,6,1727,1077,1331,226,1331
26,166.077193,8.611e-43,10029.1342,0.0378,0.67,0.04,4,6,5,6,6,1727,1077,1331,226,1331
26,167.10252,2.806e-27,3615.5521,0.0382,0.67,0.04,6,7,5,2,6,1727,1077,1331,226,1331
26,167.652396,2.892e-37,7973.4092,0.0378,0.67,0.04,6,6,5,6,6,1727,1077,1331,226,1331
26,169.227597,2.214e-32,5891.2714,0.0378,0.67,0.04,6,7,5,2,6,1727,1077,1331,226,1331
26,169.665862,3.139e-43,10195.2114,0.0374,0.67,0.04,4,6,5,6,6,1727,1077,1331,226,1331
26,170.802783,1.29e-27,3782.6547,0.0378,0.67,0.04,6,7,5,2,6,1727,1077,1331,226,1331
26,171.276086,1.273e-37,8141.0616,0.0374,0.67,0.04,6,6,5,6,6,1727,1077,1331,226,1331
26,172.886302,9.936e-33,6060.499,0.0374,0.67,0.04,6,7,5,2,6,1727,1077,1331,226,1331
26,173.247836,1.072e-43,10364.8773,0.037,0.67,0.039,4,6,5,6,6,1727,1077,1331,226,1331
26,174.496497,5.808e-28,3953.4574,0.0374,0.67,0.04,6,7,5,2,6,1727,1077,1331,226,1331
26,174.893082,5.478e-38,8312.3377,0.037,0.67,0.039,6,6,5,6,6,1727,1077,1331,226,1331
26,176.538314,4.369e-33,6233.3853,0.037,0.67,0.039,6,7,5,2,6,1727,1077,1331,226,1331
26,176.822969,3.374e-44,10538.1251,0.0366,0.67,0.039,4,6,5,6,6,1727,1077,1331,226,1331
26,178.183519,2.563e-28,4127.9539,0.037,0.67,0.039,6,7,5,2,6,1727,1077,1331,226,1331
26,178.50324,2.304e-38,8487.2308,0.0366,0.67,0.039,6,6,5,6,6,1727,1077,1331,226,1331
26,180.18349,1.882e-33,6409.9236,0.0366,0.67,0.039,6,7,5,2,6,1727,1077,1331,226,1331
26,181.863705,1.109e-28,4306.1375,0.0366,0.67,0.039,6,7,5,2,6,1727,1077,1331,226,1331
26,182.106418,9.473e-39,8665.734,0.0362,0.67,0.038,6,6,5,6,6,1727,1077,1331,226,1331
26,183.821687,7.941e-34,6590.1071,0.0362,0.67,0.038,6,7,5,2,6,1727,1077,1331,226,1331
26,185.536914,4.699e-29,4488.0012,0.0362,0.67,0.038,6,7,5,2,6,1727,1077,1331,226,1331
26,185.702473,3.805e-39,8847.8404,0.0359,0.67,0.038,6,6,5,6,6,1727,1077,1331,226,1331
26,187.452763,3.282e-34,6773.9288,0.0359,0.67,0.038,6,7,5,2,6,1727,1077,1331,226,1331
26,189.203003,1.952e-29,4673.5381,0.0359,0.67,0.038,6,7,5,2,6,1727,1077,1331,226,1331
26,189.291262,1.492e-39,9033.5429,0.0355,0.67,0.038,6,6,5,2,6,1727,1077,1331,226,1331
26,191.076576,1.329e-34,6961.3815,0.0355,0.67,0.038,6,7,5,2,6,1727,1077,1331,226,1331
26,192.86183,7.951e-30,4862.7411,0.0355,0.67,0.038,6,7,5,2,6,1727,1077,1331,226,1331
26,192.872644,5.715e-40,9222.8342,0.0352,0.67,0.037,6,6,5,2,6,1727,1077,1331,226,1331
26,194.692982,5.271e-35,7152.4581,0.0352,0.67,0.037,6,7,5,2,6,1727,1077,1331,226,1331
26,196.446475,2.135e-40,9415.7068,0.0348,0.67,0.037,6,6,5,2,6,1727,1077,1331,226,1331
26,196.513253,3.174e-30,5055.6029,0.0352,0.67,0.037,6,7,5,2,6,1727,1077,1331,226,1331
26,198.301842,2.048e-35,7347.1511,0.0348,0.67,0.037,6,7,5,2,6,1727,1077,1331,226,1331
26,200.012616,7.777e-41,9612.1533,0.0345,0.67,0.037,6,6,5,2,6,1727,1077,1331,226,1331
26,200.15713,1.242e-30,5252.1162,0.0348,0.67,0.037,6,7,5,2,6,1727,1077,1331,226,1331
26,201.903012,7.793e-36,7545.4529,0.0345,0.67,0.037,6,7,5,2,6,1727,1077,1331,226,1331
26,203.570922,2.76e-41,9812.1659,0.0342,0.67,0.036,6,6,5,2,6,1727,1077,1331,226,1331
26,203.79332,4.765e-31,5452.2733,0.0345,0.67,0.037,6,7,5,2,6,1727,1077,1331,226,1331
26,205.496351,2.905e-36,7747.3559,0.0342,0.67,0.036,6,7,5,2,6,1727,1077,1331,226,1331
26,207.121254,9.537e-42,10015.7368,0.0338,0.67,0.036,6,6,5,2,6,1727,1077,1331,226,1331
26,207.421681,1.792e-31,5656.0666,0.0342,0.67,0.036,6,7,5,2,6,1727,1077,1331,226,1331
26,209.081717,1.06e-36,7952.8523,0.0338,0.67,0.036,6,7,5,2,6,1727,1077,1331,226,1331
26,210.66347,3.204e-42,10222.8581,0.0335,0.67,0.036,6,6,5,2,6,1727,1077,1331,226,1331
26,211.042071,6.605e-32,5863.4883,0.0338,0.67,0.036,6,7,5,2,6,1727,1077,1331,226,1331
26,212.658971,3.79e-37,8161.934,0.0335,0.67,0.036,6,7,5,2,6,1727,1077,1331,226,1331
26,214.197428,1.045e-42,10433.5215,0.0332,0.67,0.035,6,6,5,2,6,1727,1077,1331,226,1331
26,214.654351,2.387e-32,6074.5304,0.0335,0.67,0.036,6,7,5,2,6,1727,1077,1331,226,1331
26,216.22797,1.327e-37,8374.593,0.0332,0.67,0.035,6,7,5,2,6,1727,1077,1331,226,1331
26,217.722988,3.302e-43,10647.719,0.0329,0.67,0.035,6,6,5,2,6,1727,1077,1331,226,1331
26,218.258379,8.459e-33,6289.1847,0.0332,0.67,0.035,6,7,5,2,6,1727,1077,1331,226,1331
26,219.788573,4.546e-38,8590.8209,0.0329,0.67,0.035,6,7,5,2,6,1727,1077,1331,226,1331
26,221.240008,1.009e-43,10865.442,0.0326,0.67,0.035,6,6,5,2,6,1727,1077,1331,226,1331
26,221.854013,2.938e-33,6507.4431,0.0329,0.67,0.035,6,7,5,2,6,1727,1077,1331,226,1331
26,223.340641,1.525e-38,8810.6095,0.0326,0.67,0.035,6,7,5,2,6,1727,1077,1331,226,1331
26,224.748348,2.97e-44,11086.682,0.0323,0.67,0.034,6,6,5,2,6,1727,1077,1331,226,1331
26,225.441115,1.001e-33,6729.2971,0.0326,0.67,0.035,6,7,5,2,6,1727,1077,1331,226,1331
26,226.884032,5.006e-39,9033.9502,0.0323,0.67,0.034,6,7,5,2,6,1727,1077,1331,226,1331
26,228.247868,8.391e-45,11311.4303,0.032,0.67,0.034,6,6,5,2,6,1727,1077,1331,226,1331
26,229.019543,3.341e-34,6954.7382,0.0323,0.67,0.034,6,7,5,2,6,1727,1077,1331,226,1331
26,230.418606,1.608e-39,9260.8342,0.032,0.67,0.034,6,7,5,2,6,1727,1077,1331,226,1331
26,231.738427,2.261e-45,11539.6782,0.0317,0.67,0.034,6,6,5,2,6,1727,1077,1331,226,1331
26,232.589158,1.094e-34,7183.7578,0.032,0.67,0.034,6,7,5,2,6,1727,1077,1331,226,1331
26,233.944223,5.053e-40,9491.2528,0.0317,0.67,0.034,6,7,5,2,6,1727,1077,1331,226,1331
26,236.149819,3.509e-35,7416.3469,0.0317,0.67,0.034,6,7,5,2,6,1727,1077,1331,226,1331
26,237.460744,1.553e-40,9725.197,0.0314,0.67,0.033,6,7,5,2,6,1727,1077,1331,226,1331
26,239.701387,1.104e-35,7652.4967,0.0314,0.67,0.033,6,7,5,2,6,1727,1077,1331,226,1331
26,240.968028,4.664e-41,9962.6578,0.0312,0.67,0.033,6,7,5,2,6,1727,1077,1331,226,1331
26,243.243723,3.404e-36,7892.1981,0.0312,0.67,0.033,6,7,5,2,6,1727,1077,1331,226,1331
26,244.465936,1.369e-41,10203.6258,0.0309,0.67,0.033,6,7,5,2,6,1727,1077,1331,226,1331
26,246.776686,1.029e-36,8135.4418,0.0309,0.67,0.033,6,7,5,2,6,1727,1077,1331,226,1331
26,247.954329,3.924e-42,10448.0917,0.0306,0.67,0.032,6,7,5,2,6,1727,1077,1331,226,1331
26,250.300139,3.047e-37,8382.2185,0.0306,0.67,0.032,6,7,5,2,6,1727,1077,1331,226,1331
26,251.433068,1.098e-42,10696.0461,0.0303,0.67,0.032,6,7,5,2,6,1727,1077,1331,226,1331
26,253.813942,8.848e-38,8632.5187,0.0303,0.67,0.032,6,7,5,2,6,1727,1077,1331,226,1331
26,254.902013,2.995e-43,10947.4791,0.0301,0.67,0.032,6,7,5,2,6,1727,1077,1331,226,1331
