global_iso_id,nu,sw,elower,gamma_air,n_air,gamma_self,nu-err,sw-err,gamma_air-err,n_air-err,gamma_self-err,nu-ref,sw-ref,gamma_air-ref,n_air-ref,gamma_self-ref
52,143.068694,2.352e-61,20771.5924,0.0191,0.3,0.106,2,5,5,5,4,607,608,699,699,684
52,144.790985,1.392e-77,28477.7926,0.0125,0.5,0.085,2,5,5,5,4,607,608,699,699,684
52,145.439376,9.089e-21,437.5583,0.0317,0.4,0.154,6,8,5,5,4,694,608,699,699,684
52,145.439477,8.739e-23,437.5583,0.0317,0.4,0.154,6,8,5,5,4,694,608,699,699,684
52,145.439931,2.294e-19,437.5584,0.0317,0.4,0.154,6,8,5,5,4,694,608,699,699,684
52,145.439933,2.662e-19,437.5578,0.0317,0.4,0.154,6,8,5,5,4,694,608,699,699,684
52,145.439953,3.09e-19,437.5577,0.0317,0.4,0.154,6,8,5,5,4,694,608,699,699,684
52,145.439955,3.579e-19,437.5583,0.0317,0.4,0.154,6,8,5,5,4,694,608,699,699,684
52,145.440055,1.205e-20,437.5577,0.0317,0.4,0.154,6,8,5,5,4,694,608,699,699,684
52,145.440485,9.076e-21,437.5578,0.0317,0.4,0.154,6,8,5,5,4,694,608,699,699,684
52,145.440607,1.009e-22,437.5577,0.0317,0.4,0.154,6,8,5,5,4,694,608,699,699,684
52,145.721634,2.788e-90,34416.2888,0.0085,0.5,0.06,2,5,4,2,4,607,608,699,699,684
52,145.869122,6.179e-70,24859.2201,0.0151,0.35,0.097,2,5,5,5,4,607,608,699,699,684
52,146.124731,2.188e-87,33086.4606,0.0092,0.5,0.065,2,5,4,2,4,607,608,699,699,684
52,146.742498,1.005e-41,11438.4589,0.0246,0.29,0.123,3,7,5,5,4,607,608,699,699,684
52,148.206516,3.965e-81,30163.773,0.0108,0.5,0.075,2,5,4,2,4,607,608,699,699,684
52,148.581838,8.199e-57,18631.4192,0.0191,0.3,0.106,2,7,5,5,4,607,608,699,699,684
52,148.914631,2.095e-84,31706.2463,0.0099,0.5,0.07,2,5,4,2,4,607,608,699,699,684
52,151.51456,2.574e-36,8879.1277,0.0246,0.29,0.123,4,7,5,5,4,607,608,699,699,684
52,152.319601,7.564e-66,22942.066,0.0151,0.35,0.097,2,5,5,5,4,607,608,699,699,684
52,152.581542,5.592e-74,26801.3573,0.0125,0.5,0.085,2,5,5,5,4,607,608,699,699,684
52,152.623484,1.523e-90,34562.0104,0.0084,0.5,0.06,2,5,4,2,4,607,608,699,699,684
52,154.019261,4.697e-52,16386.1757,0.0191,0.3,0.106,3,7,5,5,4,607,608,699,699,684
52,155.226795,1.254e-87,33232.5854,0.0088,0.5,0.062,2,5,4,2,4,607,608,699,699,684
52,156.300987,1.078e-30,6217.1067,0.0246,0.29,0.123,4,7,5,5,4,607,608,699,699,684
52,157.332515,8.601e-78,28622.5836,0.0108,0.5,0.075,2,5,4,2,4,607,608,699,699,684
52,158.58329,1.55e-61,20914.661,0.0151,0.35,0.097,2,5,5,5,4,607,608,699,699,684
52,159.046562,7.912e-91,34714.6339,0.0084,0.5,0.06,2,5,4,2,4,607,608,699,699,684
52,159.363984,1.213e-84,31855.1609,0.0092,0.5,0.065,2,5,4,2,4,607,608,699,699,684
52,159.409855,4.401e-47,14037.1573,0.0191,0.3,0.106,3,7,5,5,4,607,608,699,699,684
52,159.773565,2.355e-81,30311.9796,0.0099,0.5,0.07,2,5,4,2,4,607,608,699,699,684
52,159.97561,3.9e-70,25005.0891,0.0125,0.5,0.085,2,5,5,5,4,607,608,699,699,684
52,161.114255,7.411e-25,3451.9703,0.0246,0.29,0.123,4,8,5,5,4,607,608,699,699,684
52,161.12225,7.168e-95,36460.5052,0.0082,0.5,0.06,2,5,4,2,4,607,608,699,699,684
52,164.030997,6.764e-88,33387.8122,0.0085,0.5,0.06,2,5,4,2,4,607,608,699,699,684
52,164.711614,5.258e-57,18780.001,0.0151,0.35,0.097,2,7,5,5,4,607,608,699,699,684
52,164.777423,6.736e-42,11585.2014,0.0191,0.3,0.106,3,7,5,5,4,607,608,699,699,684
52,164.928438,3.917e-91,34873.6805,0.0083,0.5,0.06,2,5,4,2,4,607,608,699,699,684
52,165.859511,3.33e-74,26953.9388,0.0108,0.5,0.075,2,5,4,2,4,607,608,699,699,684
52,165.964385,4.904e-21,582.9982,0.0246,0.29,0.123,6,8,5,5,4,694,608,699,699,684
52,165.964471,3.633e-23,582.9982,0.0246,0.29,0.123,6,8,5,5,4,694,608,699,699,684
52,165.964947,1.68e-19,582.9983,0.0246,0.29,0.123,6,8,5,5,4,694,608,699,699,684
52,165.964949,1.91e-19,582.9978,0.0246,0.29,0.123,6,8,5,5,4,694,608,699,699,684
52,165.964964,2.174e-19,582.9977,0.0246,0.29,0.123,6,8,5,5,4,694,608,699,699,684
52,165.964966,2.47e-19,582.9982,0.0246,0.29,0.123,6,8,5,5,4,694,608,699,699,684
52,165.96505,6.509e-21,582.9977,0.0246,0.29,0.123,6,8,5,5,4,694,608,699,699,684
