global_iso_id,nu,sw,elower,gamma_air,n_air,gamma_self,nu-err,sw-err,gamma_air-err,n_air-err,gamma_self-err,nu-ref,sw-ref,gamma_air-ref,n_air-ref,gamma_self-ref
51,143.268658,1.52e-95,37264.4275,0.0217,0.52,0.244,2,6,5,4,4,677,678,203,681,684
51,145.904113,1.553e-41,11592.1293,0.0503,0.52,0.532,4,8,5,4,4,677,678,203,681,684
51,147.376115,9.975e-75,27393.7907,0.0326,0.33,0.378,2,6,5,4,4,677,678,203,681,684
51,151.766064,6.731e-34,7978.9239,0.0503,0.52,0.532,4,8,5,4,4,677,678,203,681,684
51,151.819295,7.61e-91,35069.1802,0.0217,0.52,0.244,2,6,5,4,4,677,678,203,681,684
51,154.139915,9.605e-69,24571.5842,0.0326,0.33,0.378,2,8,5,4,4,677,678,203,681,684
51,157.772481,6.542e-26,4198.5753,0.0503,0.52,0.532,5,8,5,4,4,677,678,203,681,684
51,160.121442,8.014e-86,32714.4544,0.0217,0.52,0.244,2,6,5,4,4,677,678,203,681,684
51,160.954664,1.92e-62,21596.708,0.0326,0.33,0.378,3,8,5,4,4,677,678,203,681,684
51,163.936159,1.46e-17,246.4118,0.0503,0.52,0.532,6,8,5,4,4,677,678,203,681,684
51,166.49516,1.133e-95,37407.6962,0.0156,0.74,0.16,2,6,2,4,4,677,678,203,681,684
51,167.855645,8.065e-56,18467.7678,0.0326,0.33,0.378,4,8,5,4,4,677,678,203,681,684
51,168.282675,1.749e-80,30204.3536,0.0217,0.52,0.244,2,6,5,4,4,677,678,203,681,684
51,174.872199,7.192e-49,15182.5292,0.0326,0.33,0.378,4,8,5,4,4,677,678,203,681,684
51,176.385819,7.88e-75,27541.1668,0.0217,0.52,0.244,2,6,5,4,4,677,678,203,681,684
51,176.483522,5.433e-91,35220.9995,0.0156,0.74,0.16,2,6,2,4,4,677,678,203,681,684
51,182.029067,1.379e-41,11738.0335,0.0326,0.33,0.378,4,8,5,4,4,677,678,203,681,684
51,184.495959,7.328e-69,24725.7241,0.0217,0.52,0.244,2,8,5,4,4,677,678,203,681,684
51,186.174152,5.49e-86,32874.5758,0.0156,0.74,0.16,2,6,2,4,4,677,678,203,681,684
51,189.347456,5.796e-34,8130.6899,0.0326,0.33,0.378,4,8,5,4,4,677,678,203,681,684
51,189.421088,7.083e-96,37574.1913,0.0139,0.85,0.118,2,6,2,4,4,677,678,203,681,684
51,192.665307,1.414e-62,21757.6626,0.0217,0.52,0.244,3,8,5,4,4,677,678,203,681,684
51,195.694623,1.15e-80,30372.6363,0.0156,0.74,0.16,2,6,2,4,4,677,678,203,681,684
51,196.845886,5.457e-26,4356.3478,0.0326,0.33,0.378,5,8,5,4,4,677,678,203,681,684
51,200.853723,3.235e-91,35397.483,0.0139,0.85,0.118,2,6,2,4,4,677,678,203,681,684
51,200.936559,5.732e-56,18635.6234,0.0217,0.52,0.244,4,8,5,4,4,677,678,203,681,684
51,204.540427,1.179e-17,410.3479,0.0326,0.33,0.378,6,8,5,4,4,677,678,203,681,684
51,205.142971,4.974e-75,27717.5526,0.0156,0.74,0.16,2,6,2,4,4,677,678,203,681,684
51,209.345202,4.93e-49,15357.4014,0.0217,0.52,0.244,4,8,5,4,4,677,678,203,681,684
51,211.935563,3.117e-86,33060.75,0.0139,0.85,0.118,2,6,2,4,4,677,678,203,681,684
51,212.003539,3.779e-96,37763.6124,0.025,0.5,0.089,2,6,2,2,4,677,678,203,681,684
51,214.5961,4.44e-69,24910.2201,0.0156,0.74,0.16,2,8,2,4,4,677,678,203,681,684
