global_iso_id,nu,sw,elower,gamma_air,n_air,gamma_self,nu-err,sw-err,gamma_air-err,n_air-err,gamma_self-err,nu-ref,sw-ref,gamma_air-ref,n_air-ref,gamma_self-ref
36,148.222267,2.622e-30,2479.6468,0.0338,0.72,0.03,5,4,2,2,2,1179,855,857,876,865
36,149.902273,4.773e-27,933.5309,0.0338,0.72,0.03,6,4,2,2,2,1179,855,857,876,865
36,150.421726,1.13e-29,2477.4473,0.0338,0.72,0.03,5,4,2,2,2,1179,855,857,876,865
36,152.095949,2.057e-26,931.3372,0.0338,0.72,0.03,6,4,2,2,2,1179,855,857,876,865
36,152.19591,2.988e-30,2477.4473,0.0338,0.72,0.03,5,4,2,2,2,1179,855,857,876,865
36,153.866071,5.436e-27,931.3372,0.0338,0.72,0.03,6,4,2,2,2,1179,855,857,876,865
36,159.438853,1.334e-30,2629.6432,0.0327,0.72,0.025,5,4,2,2,2,1179,855,857,876,865
36,161.245346,2.409e-27,1085.2033,0.0327,0.72,0.025,6,4,2,2,2,1179,855,857,876,865
36,161.656269,5.726e-30,2627.4258,0.0327,0.72,0.025,5,4,2,2,2,1179,855,857,876,865
36,163.412954,1.507e-30,2627.4258,0.0327,0.72,0.025,5,4,2,2,2,1179,855,857,876,865
36,163.456946,1.033e-26,1082.9917,0.0327,0.72,0.025,6,4,2,2,2,1179,855,857,876,865
36,165.209571,2.72e-27,1082.9917,0.0327,0.72,0.025,6,4,2,2,2,1179,855,857,876,865
36,170.628839,6.399e-31,2790.8388,0.0313,0.72,0.019,5,4,2,2,2,1179,855,857,876,865
36,172.561816,1.145e-27,1248.2013,0.0313,0.72,0.019,5,4,2,2,2,1179,855,857,876,865
36,172.86413,2.735e-30,2788.6035,0.0313,0.72,0.019,5,4,2,2,2,1179,855,857,876,865
36,174.603433,7.173e-31,2788.6035,0.0313,0.72,0.019,5,4,2,2,2,1179,855,857,876,865
36,174.791253,4.892e-27,1245.9718,0.0313,0.72,0.019,5,4,2,2,2,1179,855,857,876,865
