Wavelength (μm),Transmission
1.000000e+0,1.000000e+0
1.016800e+0,1.000000e+0
1.033883e+0,9.999998e-1
1.051252e+0,9.999987e-1
1.068914e+0,9.999980e-1
1.086872e+0,9.999989e-1
1.105132e+0,9.999983e-1
1.123698e+0,9.999967e-1
1.142577e+0,9.999953e-1
1.161773e+0,9.999997e-1
1.181291e+0,1.000000e+0
1.201137e+0,9.999916e-1
1.221316e+0,9.999205e-1
1.241835e+0,9.999710e-1
1.262698e+0,9.999988e-1
1.283912e+0,9.999812e-1
1.305482e+0,9.998256e-1
1.327414e+0,9.999142e-1
1.349715e+0,9.999961e-1
1.372391e+0,9.999995e-1
1.395448e+0,9.999998e-1
1.418892e+0,9.999378e-1
1.442730e+0,9.924418e-1
1.466968e+0,9.999718e-1
1.491613e+0,9.999986e-1
1.516673e+0,9.998547e-1
1.542154e+0,9.899289e-1
1.568062e+0,9.985013e-1
1.594406e+0,9.976356e-1
1.621193e+0,9.988881e-1
1.648429e+0,9.989513e-1
1.676124e+0,9.999684e-1
1.704283e+0,9.999997e-1
1.732916e+0,9.999998e-1
1.762029e+0,9.999610e-1
1.791632e+0,9.999853e-1
1.821732e+0,9.999994e-1
1.852337e+0,9.999991e-1
1.883457e+0,9.991505e-1
1.915100e+0,9.998883e-1
1.947274e+0,6.552443e-1
1.979989e+0,9.988366e-1
2.013254e+0,2.336277e-1
2.047077e+0,2.342197e-1
2.081469e+0,9.419068e-1
2.116438e+0,9.993688e-1
2.151995e+0,9.999834e-1
2.188149e+0,9.998562e-1
2.224911e+0,9.999987e-1
2.262290e+0,9.999947e-1
2.300297e+0,9.999992e-1
2.338943e+0,1.000000e+0
2.378238e+0,1.000000e+0
2.418193e+0,1.000000e+0
2.458819e+0,9.999977e-1
2.500128e+0,9.999922e-1
2.542131e+0,9.999540e-1
2.584840e+0,9.999267e-1
2.628266e+0,9.967515e-1
2.672422e+0,6.291681e-5
2.717320e+0,3.289992e-5
2.762971e+0,3.839155e-8
2.809390e+0,3.652061e-2
2.856589e+0,9.828540e-1
2.904581e+0,9.997283e-1
2.953378e+0,9.995843e-1
3.002996e+0,9.967789e-1
3.053448e+0,9.999618e-1
3.104746e+0,9.998185e-1
3.156907e+0,9.983808e-1
3.209944e+0,9.999689e-1
3.263872e+0,9.999992e-1
3.318707e+0,9.999995e-1
3.374462e+0,9.999999e-1
3.431154e+0,1.000000e+0
3.488799e+0,1.000000e+0
3.547412e+0,1.000000e+0
3.607009e+0,1.000000e+0
3.667608e+0,1.000000e+0
3.729225e+0,1.000000e+0
3.791877e+0,1.000000e+0
3.855582e+0,1.000000e+0
3.920357e+0,1.000000e+0
3.986221e+0,9.999997e-1
4.053190e+0,9.997829e-1
4.121285e+0,9.299475e-1
4.190524e+0,1.397749e-12
4.260926e+0,0.000000e+0
4.332511e+0,7.019544e-279
4.405299e+0,3.723778e-1
4.479310e+0,9.986266e-1
4.554563e+0,9.982844e-1
4.631082e+0,9.990204e-1
4.708885e+0,9.581831e-1
4.787996e+0,8.854697e-1
4.868436e+0,7.923126e-1
4.950227e+0,9.995844e-1
5.033393e+0,9.992614e-1
5.117955e+0,9.933148e-1
5.203939e+0,9.063861e-1
5.291367e+0,9.935613e-1
5.380263e+0,9.993664e-1
5.470654e+0,9.999908e-1
5.562562e+0,9.999973e-1
5.656015e+0,9.999990e-1
5.751038e+0,9.999999e-1
5.847658e+0,9.999999e-1
5.945900e+0,1.000000e+0
6.045793e+0,1.000000e+0
6.147365e+0,1.000000e+0
6.250642e+0,1.000000e+0
6.355655e+0,9.999998e-1
6.462432e+0,1.000000e+0
6.571003e+0,1.000000e+0
6.681398e+0,1.000000e+0
6.793648e+0,1.000000e+0
6.907783e+0,1.000000e+0
7.023837e+0,1.000000e+0
7.141839e+0,1.000000e+0
7.261825e+0,1.000000e+0
7.383826e+0,1.000000e+0
7.507876e+0,1.000000e+0
7.634011e+0,1.000000e+0
7.762265e+0,1.000000e+0
7.892674e+0,1.000000e+0
8.025273e+0,1.000000e+0
8.160100e+0,1.000000e+0
8.297193e+0,1.000000e+0
8.436588e+0,9.999998e-1
8.578326e+0,1.000000e+0
8.722445e+0,9.999998e-1
8.868984e+0,9.999900e-1
9.017986e+0,9.998950e-1
9.169491e+0,9.870925e-1
9.323542e+0,8.925803e-1
9.480181e+0,9.890864e-1
9.639451e+0,9.961153e-1
9.801397e+0,9.991406e-1
9.966063e+0,9.999318e-1
1.013350e+1,9.970001e-1
1.030374e+1,9.920631e-1
1.047685e+1,9.515365e-1
1.065286e+1,9.789938e-1
1.083184e+1,9.980249e-1
1.101381e+1,9.980318e-1
1.119885e+1,9.996267e-1
1.138699e+1,9.999008e-1
1.157830e+1,9.998971e-1
1.177282e+1,9.997742e-1
1.197061e+1,9.938631e-1
1.217172e+1,9.959503e-1
1.237620e+1,9.657079e-1
1.258413e+1,9.810021e-1
1.279555e+1,9.780126e-1
1.301052e+1,8.484819e-1
1.322910e+1,4.598803e-1
1.345135e+1,1.302670e-4
1.367734e+1,5.156026e-6
1.390712e+1,6.251791e-3
1.414076e+1,1.714076e-24
1.437833e+1,9.202681e-120
1.461989e+1,1.317330e-248
