Wavelength (μm),Transmission
3.000000e+0,9.936204e-1
3.037287e+0,9.934333e-1
3.075038e+0,9.967102e-1
3.113258e+0,9.864799e-1
3.151953e+0,9.906066e-1
3.191129e+0,9.978303e-1
3.230792e+0,9.863703e-1
3.270947e+0,9.982119e-1
3.311602e+0,9.977754e-1
3.352762e+0,9.974566e-1
3.394434e+0,9.995066e-1
3.436624e+0,9.999014e-1
3.479338e+0,9.999914e-1
3.522583e+0,9.999655e-1
3.566366e+0,9.999994e-1
3.610692e+0,9.999995e-1
3.655570e+0,9.999997e-1
3.701005e+0,9.999999e-1
3.747005e+0,9.999998e-1
3.793577e+0,9.999996e-1
3.840728e+0,9.999999e-1
3.888465e+0,9.999999e-1
3.936795e+0,9.999998e-1
3.985726e+0,9.999999e-1
4.035265e+0,9.999994e-1
4.085419e+0,9.999998e-1
4.136197e+0,9.999997e-1
4.187606e+0,9.999989e-1
4.239655e+0,9.999987e-1
4.292350e+0,9.999927e-1
4.345700e+0,9.999909e-1
4.399713e+0,9.999924e-1
4.454397e+0,9.999776e-1
4.509761e+0,9.999150e-1
4.565813e+0,9.998397e-1
4.622562e+0,9.999336e-1
4.680017e+0,9.993213e-1
4.738185e+0,9.995556e-1
4.797076e+0,9.990461e-1
4.856700e+0,9.991624e-1
4.917064e+0,9.994318e-1
4.978178e+0,9.992168e-1
5.040053e+0,9.980383e-1
5.102696e+0,9.939325e-1
5.166118e+0,9.952186e-1
5.230328e+0,9.911172e-1
5.295336e+0,9.668761e-1
5.361152e+0,8.783420e-1
5.427787e+0,9.486691e-1
5.495249e+0,9.550934e-1
5.563550e+0,5.009895e-1
5.632700e+0,7.285033e-1
5.702709e+0,7.897822e-1
5.773589e+0,2.009674e-1
5.845349e+0,7.410760e-1
5.918002e+0,7.140386e-1
5.991557e+0,5.989833e-1
6.066026e+0,1.871042e-1
6.141422e+0,8.339784e-1
6.217754e+0,9.519753e-1
6.295035e+0,9.718289e-1
6.373276e+0,6.559138e-1
6.452491e+0,7.575228e-1
6.532689e+0,6.179049e-1
6.613884e+0,6.237158e-1
6.696089e+0,4.181710e-1
6.779315e+0,1.229373e-1
6.863576e+0,3.287035e-1
6.948884e+0,4.399245e-1
7.035252e+0,3.390654e-1
7.122694e+0,6.837318e-1
7.211223e+0,3.732109e-1
7.300852e+0,9.773189e-1
7.391595e+0,9.885285e-1
7.483465e+0,9.630453e-1
7.576478e+0,9.766390e-1
7.670647e+0,9.991835e-1
7.765986e+0,9.963294e-1
7.862510e+0,9.916669e-1
7.960234e+0,9.993180e-1
8.059172e+0,9.993252e-1
8.159340e+0,9.975902e-1
8.260754e+0,9.983273e-1
8.363427e+0,9.998218e-1
8.467377e+0,9.999162e-1
8.572619e+0,9.998355e-1
8.679169e+0,9.997564e-1
8.787043e+0,9.994826e-1
